# Pooled wasps from common garden experiment after EE;;;;;;
# by Mark Lammers;;;;;;
# last updated:;24-12-2020;;;;;
Name;Family;Strain;Generation;Treatment;Wasps;Dissected
Pool1;F34;PA;G22;PA-PA;E187, E189, E191, E193;22-10-2020
Pool2;F34;PA;G22;PA-FA;E188, E190, E192, E196;22-10-2020
Pool3;F34;PA;G22;PA-PA;E195, E199, E201, E203;22-10-2020
Pool4;F34;PA;G22;PA-FA;E198, E200, E202, E204;22-10-2020
Pool5;F34;PA;G22;PA-PA;E205, E207, E209, E211;22-10-2020
Pool6;F34;PA;G22;PA-FA;E206, E208, E210, E212;22-10-2020
Pool7;F34;FA;G22;FA-PA;E213, E215, E217;30-10-2020
Pool8;F34;FA;G22;FA-FA;E214, E216, E218;30-10-2020
Pool9;F34;FA;G22;FA-PA;E219, E221, E223;30-10-2020
Pool10;F34;FA;G22;FA-FA;E220, E222, E224, E225;30-10-2020
Pool11;F34;G(FA);G22;G(FA)-PA;E226, E228, E230;12-11-2020
Pool12;F34;G(FA);G22;G(FA)-FA;E227, E229, E231;12-11-2020
Pool13;F34;G(FA);G22;G(FA)-PA;E232, E234, E238;12-11-2020
Pool14;F34;G(FA);G22;G(FA)-FA;E233, E235, E237, E239;12-11-2020
Pool15;F34;PA;G23;PA-PA-PA;E240, E242, E252;20-11-2020
Pool16;F34;PA;G23;PA-PA-FA;E241, E251;20-11-2020
Pool17;F34;PA;G23;PA-FA-PA;E246, E248, E250;20-11-2020
Pool18;F34;PA;G23;PA-FA-FA;E245, E247, E259;20-11-2020
Pool19;F34;PA;G23;PA-PA-PA;E254, E256, E258;20-11-2020
Pool20;F34;PA;G23;PA-PA-FA;E253, E255, E257;20-11-2020
Pool21;F34;PA;G23;PA-FA-PA;E260, E262, E264;20-11-2020
Pool22;F34;PA;G23;PA-FA-FA;E261, E263, E265;20-11-2020
Pool23;F39;PA;G22;PA-PA;E266, E268, E270, E272;26-11-2020
Pool24;F39;PA;G22;PA-FA;E267, E269, E271, E273;26-11-2020
Pool25;F39;PA;G22;PA-PA;E274, E276, E278, E280;26-11-2020
Pool26;F39;PA;G22;PA-FA;E275, E277, E279, E281;26-11-2020
Pool27;F39;PA;G22;PA-PA;E282, E284, E286, E288;26-11-2020
Pool28;F39;PA;G22;PA-FA;E283, E285, E287, E289;26-11-2020
Pool29;F34;FA;G23;FA-PA-PA;E294, E296, E298;27-11-2020
Pool30;F34;FA;G23;FA-PA-FA;E295, E297, E299, E301;27-11-2020
Pool31;F34;FA;G23;FA-FA-PA;E302, E304, E306, E308;27-11-2020
Pool32;F34;FA;G23;FA-FA-FA;E303, E307;27-11-2020
Pool33;F34;FA;G23;FA-PA-PA;E310, E312, E300;27-11-2020
Pool34;F34;FA;G23;FA-PA-FA;E309, E311, E313;27-11-2020
Pool35;F34;FA;G23;FA-FA-PA;E314, E316, E318;27-11-2020
Pool36;F34;FA;G23;FA-FA-FA;E315, E319, E320;27-11-2020
Pool37;F39;FA;G22;FA-PA;E322, E324, E326, E328;04-12-2020
Pool38;F39;FA;G22;FA-FA;E321, E323, E325, E327;04-12-2020
Pool39;F39;FA;G22;FA-PA;E330, E332, E334;04-12-2020
Pool40;F39;FA;G22;FA-FA;E329, E331, E333, E335;04-12-2020
Pool41;F34;G(FA);G23;PA-PA;E346;11-12-2020
Pool42;F34;G(FA);G23;PA-FA;E345, E347;11-12-2020
Pool43;F34;G(FA);G23;FA-PA;E340, E342, E344;11-12-2020
Pool44;F34;G(FA);G23;FA-FA;E341, E343, E348;11-12-2020
Pool45;F39;PA;G23;PA-PA-PA;E352, E354, E360, E362;17-12-2020
Pool46;F39;PA;G23;PA-PA-FA;E353, E355, E359;17-12-2020
Pool47;F39;PA;G23;PA-FA-PA;E350, E356, E358, E364;17-12-2020
Pool48;F39;PA;G23;PA-FA-FA;E349, E351, E357, E363;17-12-2020
Pool49;F39;FA;G23;FA-PA-PA;E364, E366, E368;24-12-2020
Pool50;F39;FA;G23;FA-PA-FA;E365, E367;24-12-2020
Pool51;F39;FA;G23;FA-FA-PA;E370;24-12-2020
Pool52;F39;FA;G23;FA-FA-FA;E369, E371;24-12-2020
